date,product,region,sales_rep,quantity,unit_price,customer_rating,total_sales,month,quarter,day_of_week,price_category,rating_category
2023-01-01 00:00:00.000000000,Mouse,South,Rep_008,16,1274.5870960779912,2.630863082660901,20393.39353724786,1,1,Sunday,Luxury,Fair
2023-01-01 17:32:15.135135135,Headphones,East,Rep_004,2,532.6446426238033,1.5022623145490055,1065.2892852476066,1,1,Sunday,Premium,Poor
2023-01-02 11:04:30.270270270,Monitor,North,Rep_016,2,367.48934686988434,1.6851798312866815,734.9786937397687,1,1,Monday,Mid-range,Poor
2023-01-03 04:36:45.405405405,Mouse,Central,Rep_010,3,414.4831591865002,4.309426219304582,1243.4494775595006,1,1,Tuesday,Mid-range,Excellent
2023-01-03 22:09:00.540540540,Tablet,Central,Rep_012,8,88.60153377714605,3.3393545267555282,708.8122702171684,1,1,Tuesday,Budget,Good
2023-01-04 15:41:15.675675675,Monitor,West,Rep_014,15,811.8301164225815,2.3501298635352756,12177.451746338722,1,1,Wednesday,Premium,Fair
2023-01-05 09:13:30.810810810,Monitor,South,Rep_014,7,423.2839769741079,4.211404835982184,2962.9878388187553,1,1,Thursday,Mid-range,Excellent
2023-01-06 02:45:45.945945945,Mouse,North,Rep_002,6,937.001263465593,1.986079622551932,5622.007580793557,1,1,Friday,Premium,Poor
2023-01-06 20:18:01.081081081,Phone,South,Rep_005,9,1873.2391420855924,4.904130794400816,16859.152278770332,1,1,Friday,Luxury,Excellent
2023-01-07 13:50:16.216216216,Tablet,North,Rep_005,1,889.5534085390204,2.379270430984679,889.5534085390204,1,1,Saturday,Premium,Fair
2023-01-08 07:22:31.351351351,Mouse,West,Rep_006,8,1762.069769120428,2.3492438166049103,14096.558152963424,1,1,Sunday,Luxury,Fair
2023-01-09 00:54:46.486486486,Tablet,West,Rep_013,3,1230.7342949009592,2.247647622146821,3692.202884702878,1,1,Monday,Luxury,Fair
2023-01-09 18:27:01.621621621,Tablet,Central,Rep_009,4,531.9065315897142,1.4884460636971517,2127.6261263588567,1,1,Monday,Premium,Poor
2023-01-10 11:59:16.756756756,Monitor,South,Rep_015,15,743.9167805554622,1.4445485893280496,11158.751708331933,1,1,Tuesday,Premium,Poor
2023-01-11 05:31:31.891891891,Headphones,Central,Rep_014,6,213.64309485178737,3.5924201381364935,1281.8585691107241,1,1,Wednesday,Mid-range,Good
2023-01-11 23:03:47.027027027,Tablet,South,Rep_007,15,700.2520575122205,4.500472178232188,10503.780862683308,1,1,Wednesday,Premium,Excellent
2023-01-12 16:36:02.162162162,Keyboard,Central,Rep_020,3,1371.2048437318915,4.162082041086694,4113.614531195674,1,1,Thursday,Luxury,Excellent
2023-01-13 10:08:17.297297297,Monitor,East,Rep_002,14,190.6166312123986,1.5644303760854044,2668.63283697358,1,1,Friday,Budget,Poor
2023-01-14 03:40:32.432432432,Phone,East,Rep_007,14,450.5327465321572,3.1823284871682658,6307.458451450201,1,1,Saturday,Mid-range,Good
2023-01-14 21:12:47.567567567,Headphones,East,Rep_006,4,793.8100307559574,1.42236618390656,3175.2401230238297,1,1,Saturday,Premium,Poor
2023-01-15 14:45:02.702702702,Keyboard,East,Rep_017,12,1964.9965971811268,1.1811785744523098,23579.95916617352,1,1,Sunday,Luxury,Poor
2023-01-16 08:17:17.837837837,Keyboard,North,Rep_002,17,1580.4805547698163,3.625543437539069,26868.169431086877,1,1,Monday,Luxury,Good
2023-01-17 01:49:32.972972973,Phone,East,Rep_003,7,1480.2991556596025,3.1406093347214012,10362.094089617218,1,1,Tuesday,Luxury,Good
2023-01-17 19:21:48.108108108,Headphones,West,Rep_005,9,276.57236522461966,1.3280947408458834,2489.151287021577,1,1,Tuesday,Mid-range,Poor
2023-01-18 12:54:03.243243243,Monitor,West,Rep_005,3,1572.9419925492334,1.1397569856239538,4718.825977647701,1,1,Wednesday,Luxury,Poor
2023-01-19 06:26:18.378378378,Laptop,North,Rep_001,13,1581.2741824562295,4.9590256536373385,20556.564371930985,1,1,Thursday,Luxury,Excellent
2023-01-19 23:58:33.513513513,Headphones,East,Rep_008,15,1222.1502564674402,1.1200853285962875,18332.2538470116,1,1,Thursday,Luxury,Poor
2023-01-20 17:30:48.648648648,Phone,East,Rep_012,18,1981.205474896825,2.7781130122006386,35661.69854814285,1,1,Friday,Luxury,Fair
